Quan_huyen,Loai_hinh,Dien_tich,Tong_so_tang,Tang_phong,Thang_may,Noi_that,Ban_cong_Cua_so,Khu_bep,Ve_sinh,May_giat,Vi_tri_ngo,Cho_nuoi_pet,Gia_dien,Khoang_cach_TT,Gia_phong
Tây Hồ,Homestay (Sleepbox),6,6,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,9325,3414951
Cầu Giấy,Căn hộ dịch vụ (Studio),29,8,8,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3800,7464,10248771
Đống Đa,Chung cư mini,28,5,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,5195,10167019
Đống Đa,Trọ thường,22,6,4,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,7900,3577110
Đống Đa,Chung cư mini,33,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,11931,16842559
Long Biên,1N1K (1 Khách 1 Ngủ),44,5,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,3108,9574229
Thanh Xuân,Trọ thường,20,4,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,3521,2778722
Bắc Từ Liêm,Trọ thường,27,6,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,3411,3653263
Bắc Từ Liêm,Chung cư mini,30,5,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,4952,6112766
Tây Hồ,Homestay (Sleepbox),8,7,7,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,3453,1393285
Cầu Giấy,1N1K (1 Khách 1 Ngủ),49,8,4,Có,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,4041,8134507
Hai Bà Trưng,Chung cư mini,15,9,4,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,11593,4376826
Gia Lâm,Căn hộ dịch vụ (Studio),45,8,5,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,610,8198260
Ba Đình,Trọ thường,15,9,9,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,4000,5126,6094606
Tây Hồ,Trọ thường,19,4,2,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,6620,6404293
Tây Hồ,Căn hộ dịch vụ (Studio),27,9,1,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,6231,10905007
Long Biên,Homestay (Sleepbox),7,6,3,Có,Nhà trống,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,1334,1000000
Long Biên,Căn hộ dịch vụ (Studio),43,4,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3800,7818,8817363
Thanh Xuân,Homestay (Sleepbox),9,3,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,2849,2449976
Tây Hồ,Căn hộ dịch vụ (Studio),31,9,8,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,7082,11461602
Cầu Giấy,Căn hộ dịch vụ (Studio),41,5,3,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,3035,11306303
Cầu Giấy,1N1K (1 Khách 1 Ngủ),39,6,2,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,9018,11902698
Nam Từ Liêm,Chung cư mini,23,5,1,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,11815,10317787
Hà Đông,Chung cư mini,27,4,4,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,5509,8350981
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),59,6,4,Có,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,3977,12101863
Thanh Xuân,Trọ thường,28,6,5,Có,Nhà trống,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,4086,5595343
Hoàng Mai,Homestay (Sleepbox),8,6,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,Giá dân,4825,1244061
Thanh Xuân,Homestay (Sleepbox),10,4,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3800,3345,1054811
Thanh Xuân,Căn hộ dịch vụ (Studio),32,4,4,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,4632,8433287
Cầu Giấy,1N1K (1 Khách 1 Ngủ),55,7,6,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,4000,2677,12470466
Thanh Xuân,Căn hộ dịch vụ (Studio),44,7,6,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,3500,10689,7344861
Ba Đình,Trọ thường,23,5,4,Không,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,4384,5301867
Hoàng Mai,Homestay (Sleepbox),10,9,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,3069,1741534
Bắc Từ Liêm,Căn hộ dịch vụ (Studio),30,8,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,2164,6095456
Gia Lâm,Trọ thường,29,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,5699,6234293
Đống Đa,Căn hộ dịch vụ (Studio),29,9,1,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,8340,7277513
Hoàng Mai,Căn hộ dịch vụ (Studio),27,8,6,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,1101,6926060
Bắc Từ Liêm,Homestay (Sleepbox),9,8,4,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,6076,1000000
Hoàng Mai,Căn hộ dịch vụ (Studio),38,5,1,Không,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,8175,6381711
Cầu Giấy,Căn hộ dịch vụ (Studio),41,6,6,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,4000,7514,8033848
Bắc Từ Liêm,1N1K (1 Khách 1 Ngủ),49,8,4,Có,Nhà trống,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,3500,873,6969668
Hoàn Kiếm,1N1K (1 Khách 1 Ngủ),45,3,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,7299,9152916
Hai Bà Trưng,Homestay (Sleepbox),9,7,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,10719,2216033
Long Biên,1N1K (1 Khách 1 Ngủ),49,8,4,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,1301,8011710
Bắc Từ Liêm,Căn hộ dịch vụ (Studio),28,9,3,Không,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,3081,4292832
Thanh Xuân,1N1K (1 Khách 1 Ngủ),43,4,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,10680,15151351
Hoàn Kiếm,Căn hộ dịch vụ (Studio),44,8,8,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,2270,13921897
Tây Hồ,Căn hộ dịch vụ (Studio),41,6,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,2989,8345818
Cầu Giấy,Căn hộ dịch vụ (Studio),28,9,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,10183,7320154
Tây Hồ,Chung cư mini,15,3,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,2514,13875871
Thanh Xuân,1N1K (1 Khách 1 Ngủ),46,5,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,3308,11939380
Hai Bà Trưng,Căn hộ dịch vụ (Studio),26,3,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,1700,9984825
Hoàng Mai,Homestay (Sleepbox),5,8,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,10410,1000000
Cầu Giấy,Trọ thường,23,4,3,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,3257,4159262
Hà Đông,Trọ thường,32,9,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,1916,13339912
Hai Bà Trưng,Trọ thường,27,8,7,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3500,2057,6714027
Gia Lâm,Trọ thường,27,9,4,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,2518,2529019
Ba Đình,Homestay (Sleepbox),6,8,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,2916,3275114
Tây Hồ,Chung cư mini,17,8,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,2292,9925242
Tây Hồ,Chung cư mini,26,6,5,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,10749,7601863
Cầu Giấy,Căn hộ dịch vụ (Studio),39,7,1,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,6730,12559277
Cầu Giấy,Căn hộ dịch vụ (Studio),44,4,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,6688,7173470
Ba Đình,1N1K (1 Khách 1 Ngủ),47,3,1,Không,Nhà trống,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,Giá dân,2063,8005954
Bắc Từ Liêm,Trọ thường,21,8,8,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,944,4315644
Hai Bà Trưng,Căn hộ dịch vụ (Studio),35,8,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,11153,7425176
Tây Hồ,Trọ thường,28,7,1,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,10525,10232524
Hoàng Mai,1N1K (1 Khách 1 Ngủ),43,7,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,4816,9782162
Long Biên,Trọ thường,31,6,5,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,8536,4497124
Bắc Từ Liêm,Chung cư mini,29,9,6,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,2768,4829407
Đống Đa,Chung cư mini,23,5,1,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,11275,6323489
Hà Đông,1N1K (1 Khách 1 Ngủ),39,4,2,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,2466,8184837
Cầu Giấy,Trọ thường,30,7,5,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,9586,8975076
Đống Đa,1N1K (1 Khách 1 Ngủ),50,5,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,8188,14578535
Ba Đình,Chung cư mini,28,4,4,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,903,6947485
Bắc Từ Liêm,Chung cư mini,18,6,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,4999,4253708
Thanh Xuân,Căn hộ dịch vụ (Studio),37,5,1,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,11780,12207897
Nam Từ Liêm,Trọ thường,23,3,3,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,6012,4593021
Cầu Giấy,1N1K (1 Khách 1 Ngủ),55,3,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,3515,11293818
Cầu Giấy,Chung cư mini,20,3,3,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,5144,5470740
Long Biên,Chung cư mini,25,7,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,3444,6361685
Nam Từ Liêm,Căn hộ dịch vụ (Studio),33,6,3,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,5541,8310873
Hà Đông,Căn hộ dịch vụ (Studio),36,7,1,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,4000,10687,6886775
Đống Đa,Trọ thường,17,7,6,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3800,11408,4623455
Hai Bà Trưng,Chung cư mini,17,4,4,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,7420,3767565
Hai Bà Trưng,1N1K (1 Khách 1 Ngủ),52,6,6,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,7252,8148706
Đống Đa,Homestay (Sleepbox),6,5,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,9956,1066173
Hai Bà Trưng,Homestay (Sleepbox),9,8,5,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,2551,1674247
Hà Đông,Chung cư mini,26,5,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,10204,10929592
Cầu Giấy,Căn hộ dịch vụ (Studio),31,9,2,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,9354,13219928
Nam Từ Liêm,Chung cư mini,33,9,8,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,8901,14601418
